state,yr,qtr,index_nsa,index_sa,Warning
CA,1996,2,85.08,84.45,
CA,1996,3,85.46,84.63,
CA,1996,4,85.27,85.15,
CA,1997,1,84.82,84.73,
CA,1997,2,86.97,86.26,
CA,1997,3,88.18,87.36,
CA,1997,4,88.99,88.90,
CA,1998,1,91.14,91.03,
CA,1998,2,94.49,93.65,
CA,1998,3,96.58,95.73,
CA,1998,4,98.11,98.03,
CA,1999,1,100.64,100.52,
CA,1999,2,103.83,102.86,
CA,1999,3,106.16,105.25,
CA,1999,4,108.34,108.23,
CA,2000,1,111.72,111.61,
CA,2000,2,116.09,115.01,
CA,2000,3,119.81,118.76,
CA,2000,4,123.71,123.56,
CA,2001,1,127.93,127.88,
CA,2001,2,132.48,131.31,
CA,2001,3,135.36,134.05,
CA,2001,4,137.94,137.73,
CA,2002,1,142.22,142.27,
CA,2002,2,149.73,148.47,
CA,2002,3,156.94,155.25,
CA,2002,4,161.62,161.36,
CA,2003,1,167.27,167.48,
CA,2003,2,174.86,173.40,
CA,2003,3,182.64,180.46,
CA,2003,4,191.41,191.18,
CA,2004,1,200.68,201.08,
CA,2004,2,215.49,213.64,
CA,2004,3,230.68,227.80,
CA,2004,4,240.01,239.78,
CA,2005,1,251.56,252.20,
CA,2005,2,267.45,265.09,
CA,2005,3,280.70,277.07,
CA,2005,4,284.06,283.80,
CA,2006,1,286.07,286.99,
CA,2006,2,287.40,284.80,
CA,2006,3,282.68,278.97,
CA,2006,4,274.10,273.69,
CA,2007,1,271.73,272.83,
CA,2007,2,268.88,266.43,
CA,2007,3,255.33,251.97,
CA,2007,4,234.50,233.95,
CA,2008,1,212.82,213.90,
CA,2008,2,195.77,193.99,
CA,2008,3,183.39,180.96,
CA,2008,4,171.33,170.77,
CA,2009,1,163.47,164.45,
CA,2009,2,163.65,162.17,
CA,2009,3,167.13,164.89,
CA,2009,4,168.08,167.43,
CA,2010,1,165.88,167.02,
CA,2010,2,167.81,166.24,
CA,2010,3,165.21,162.95,
CA,2010,4,160.24,159.66,
CA,2011,1,154.69,155.79,
CA,2011,2,154.14,152.58,
CA,2011,3,154.10,152.03,
CA,2011,4,152.67,152.25,
CA,2012,1,153.03,154.05,
CA,2012,2,160.36,158.60,
CA,2012,3,164.36,162.21,
CA,2012,4,169.94,169.68,
CA,2013,1,177.36,178.35,
CA,2013,2,190.45,188.22,
CA,2013,3,198.67,196.23,
CA,2013,4,200.68,200.58,
CA,2014,1,203.94,204.83,
CA,2014,2,210.84,208.31,
CA,2014,3,214.25,211.77,
CA,2014,4,215.55,215.62,
CA,2015,1,219.10,219.73,
CA,2015,2,225.52,222.81,
CA,2015,3,229.09,226.63,
CA,2015,4,230.99,231.15,
CA,2016,1,234.66,235.05,
CA,2016,2,241.80,238.95,
CA,2016,3,245.02,242.54,
CA,2016,4,246.89,247.09,
CA,2017,1,251.78,251.95,
CA,2017,2,260.28,257.28,
CA,2017,3,264.82,262.32,
CA,2017,4,267.01,267.14,
CA,2018,1,272.89,273.01,
CA,2018,2,278.13,274.92,
